# Shock hugoniot for sesame material number 7361
#   fused quartz (z=10.0, a=20.028) -   2.204 - 301                                                   
# Polar curve for this state :
#   rho(g/cm3) =  2.20399400E+00
#   P(Mbar)    =  1.55551218E-05
#   T(eV)      =  2.58509263E-02
#   E(KJ/g)    =  1.51158805E-03

#R(g/cm3) P-P0(Mbar) E(KJ/g) T(eV) Us(km/s) Up(km/s) 
+6.57904949E+00 +9.12940102E+00 +1.37729758E+02 +5.38506915E+00 +2.49577461E+01 +1.65968540E+01
+6.58130715E+00 +9.14942054E+00 +1.38055630E+02 +5.39688259E+00 +2.49829370E+01 +1.66164770E+01
+6.58356118E+00 +9.16944006E+00 +1.38381551E+02 +5.40868756E+00 +2.50080988E+01 +1.66360798E+01
+6.58581158E+00 +9.18945958E+00 +1.38707522E+02 +5.42048420E+00 +2.50332317E+01 +1.66556624E+01
+6.58805832E+00 +9.20947910E+00 +1.39033542E+02 +5.43227266E+00 +2.50583356E+01 +1.66752250E+01
+6.59030137E+00 +9.22949862E+00 +1.39359610E+02 +5.44405307E+00 +2.50834108E+01 +1.66947676E+01
+6.59254073E+00 +9.24951814E+00 +1.39685726E+02 +5.45582551E+00 +2.51084574E+01 +1.67142902E+01
+6.59477638E+00 +9.26953766E+00 +1.40011888E+02 +5.46759014E+00 +2.51334756E+01 +1.67337928E+01
+6.59700827E+00 +9.28955718E+00 +1.40338098E+02 +5.47934708E+00 +2.51584653E+01 +1.67532755E+01
+6.59923640E+00 +9.30957670E+00 +1.40664355E+02 +5.49109642E+00 +2.51834269E+01 +1.67727384E+01
+6.60146077E+00 +9.32959622E+00 +1.40990656E+02 +5.50283824E+00 +2.52083603E+01 +1.67921814E+01
+6.60368131E+00 +9.34961574E+00 +1.41317003E+02 +5.51457271E+00 +2.52332658E+01 +1.68116047E+01
+6.60589804E+00 +9.36963525E+00 +1.41643395E+02 +5.52629986E+00 +2.52581435E+01 +1.68310082E+01
+6.60811092E+00 +9.38965477E+00 +1.41969832E+02 +5.53801982E+00 +2.52829934E+01 +1.68503919E+01
+6.61031992E+00 +9.40967429E+00 +1.42296312E+02 +5.54973267E+00 +2.53078157E+01 +1.68697560E+01
+6.61252504E+00 +9.42969381E+00 +1.42622836E+02 +5.56143847E+00 +2.53326106E+01 +1.68891005E+01
+6.61472625E+00 +9.44971333E+00 +1.42949403E+02 +5.57313730E+00 +2.53573781E+01 +1.69084254E+01
+6.61692352E+00 +9.46973285E+00 +1.43276012E+02 +5.58482924E+00 +2.53821184E+01 +1.69277307E+01
+6.61911686E+00 +9.48975237E+00 +1.43602663E+02 +5.59651431E+00 +2.54068315E+01 +1.69470165E+01
+6.62130622E+00 +9.50977189E+00 +1.43929354E+02 +5.60819260E+00 +2.54315177E+01 +1.69662828E+01
+6.62349157E+00 +9.52979141E+00 +1.44256088E+02 +5.61986418E+00 +2.54561771E+01 +1.69855297E+01
+6.62567291E+00 +9.54981093E+00 +1.44582861E+02 +5.63152907E+00 +2.54808097E+01 +1.70047571E+01
+6.62785021E+00 +9.56983045E+00 +1.44909675E+02 +5.64318732E+00 +2.55054157E+01 +1.70239652E+01
+6.63002345E+00 +9.58984997E+00 +1.45236527E+02 +5.65483895E+00 +2.55299952E+01 +1.70431540E+01
+6.63219261E+00 +9.60986949E+00 +1.45563419E+02 +5.66648399E+00 +2.55545483E+01 +1.70623234E+01
+6.63435766E+00 +9.62988900E+00 +1.45890349E+02 +5.67812246E+00 +2.55790752E+01 +1.70814736E+01
+6.63651859E+00 +9.64990852E+00 +1.46217316E+02 +5.68975435E+00 +2.56035759E+01 +1.71006045E+01
+6.63867536E+00 +9.66992804E+00 +1.46544321E+02 +5.70137971E+00 +2.56280506E+01 +1.71197163E+01
+6.64082796E+00 +9.68994756E+00 +1.46871363E+02 +5.71299851E+00 +2.56524995E+01 +1.71388088E+01
+6.64297636E+00 +9.70996708E+00 +1.47198441E+02 +5.72461074E+00 +2.56769225E+01 +1.71578823E+01
+6.64512054E+00 +9.72998660E+00 +1.47525554E+02 +5.73621639E+00 +2.57013199E+01 +1.71769366E+01
+6.64726078E+00 +9.75000612E+00 +1.47852706E+02 +5.74781674E+00 +2.57256915E+01 +1.71959720E+01
+6.64939698E+00 +9.77002564E+00 +1.48179896E+02 +5.75941247E+00 +2.57500374E+01 +1.72149886E+01
+6.65152919E+00 +9.79004516E+00 +1.48507122E+02 +5.77100367E+00 +2.57743578E+01 +1.72339863E+01
+6.65365743E+00 +9.81006468E+00 +1.48834386E+02 +5.78259043E+00 +2.57986526E+01 +1.72529653E+01
+6.65578175E+00 +9.83008420E+00 +1.49161688E+02 +5.79417285E+00 +2.58229219E+01 +1.72719257E+01
+6.65790218E+00 +9.85010372E+00 +1.49489027E+02 +5.80575101E+00 +2.58471659E+01 +1.72908674E+01
+6.66001875E+00 +9.87012324E+00 +1.49816404E+02 +5.81732500E+00 +2.58713845E+01 +1.73097905E+01
+6.66213151E+00 +9.89014275E+00 +1.50143820E+02 +5.82889492E+00 +2.58955778E+01 +1.73286952E+01
+6.66424047E+00 +9.91016227E+00 +1.50471273E+02 +5.84046085E+00 +2.59197459E+01 +1.73475815E+01
+6.66634567E+00 +9.93018179E+00 +1.50798764E+02 +5.85202286E+00 +2.59438888E+01 +1.73664495E+01
+6.66844714E+00 +9.95020131E+00 +1.51126294E+02 +5.86358104E+00 +2.59680066E+01 +1.73852992E+01
+6.67054489E+00 +9.97022083E+00 +1.51453862E+02 +5.87513548E+00 +2.59920994E+01 +1.74041306E+01
+6.67263897E+00 +9.99024035E+00 +1.51781468E+02 +5.88668625E+00 +2.60161672E+01 +1.74229439E+01
+6.67472938E+00 +1.00102599E+01 +1.52109112E+02 +5.89823342E+00 +2.60402101E+01 +1.74417391E+01
+6.67681616E+00 +1.00302794E+01 +1.52436795E+02 +5.90977708E+00 +2.60642281E+01 +1.74605163E+01
+6.67889933E+00 +1.00502989E+01 +1.52764516E+02 +5.92131730E+00 +2.60882214E+01 +1.74792755E+01
+6.68097892E+00 +1.00703184E+01 +1.53092275E+02 +5.93285412E+00 +2.61121900E+01 +1.74980167E+01
+6.68305492E+00 +1.00903379E+01 +1.53420073E+02 +5.94438767E+00 +2.61361340E+01 +1.75167401E+01
+6.68512737E+00 +1.01103575E+01 +1.53747909E+02 +5.95591798E+00 +2.61600534E+01 +1.75354457E+01
+6.68719673E+00 +1.01303770E+01 +1.54075788E+02 +5.96744362E+00 +2.61839478E+01 +1.75541338E+01
+6.68926514E+00 +1.01503965E+01 +1.54403735E+02 +5.97895656E+00 +2.62078154E+01 +1.75728059E+01
+6.69133284E+00 +1.01704160E+01 +1.54731752E+02 +5.99045576E+00 +2.62316559E+01 +1.75914622E+01
+6.69339977E+00 +1.01904355E+01 +1.55059838E+02 +6.00194138E+00 +2.62554696E+01 +1.76101026E+01
+6.69546586E+00 +1.02104551E+01 +1.55387992E+02 +6.01341359E+00 +2.62792564E+01 +1.76287272E+01
+6.69753106E+00 +1.02304746E+01 +1.55716213E+02 +6.02487255E+00 +2.63030167E+01 +1.76473359E+01
